sportnik,drzava,kvota
Gastao Elias,POR,1.40
Pedro Cachin,ARG,2.65
Christian Lindell,SWE,3.40
Facundo Bagnis,ARG,1.26
Rogerio Dutra Silva,BRA,1.60
Guilherme Clezar,BRA,2.15
Andreas Beck,GER,1.30
Christopher Heyman,BEL,3.00
Christian Lindell,SWE,3.40
Facundo Bagnis,ARG,1.26
Gastao Elias,POR,1.40
Pedro Cachin,ARG,2.65
Rogerio Dutra Silva,BRA,1.60
Guilherme Clezar,BRA,2.15
Corentin Denolly,FRA,3.60
Yann Marti,SUI,1.22
Shelby Rogers,USA,1.42
Bernarda Pera,USA,2.50
Fiona Ferro,FRA,2.85
Katerina Stewart,USA,1.33
Andreas Beck,GER,1.30
Christopher Heyman,BEL,3.00
Dominic Thiem,AUT,1.53
David Goffin,BEL,2.50
Guillermo Garcia-Lopez,ESP,8.75
Kei Nishikori,JPN,1.06
Jo-Wilfried Tsonga,FRA,1.07
Pierre-Hugues Herbert,FRA,8.00
Roger Federer,SUI,1.10
Grigor Dimitrov,BUL,7.00
Federico Delbonis,ARG,6.00
Gilles Simon,FRA,1.12
Marin Cilic,CRO,1.36
Roberto Bautista-Agut,ESP,3.20
Novak Djokovic,SRB,1.01
Andreas Seppi,ITA,17.00
Nick Kyrgios,AUS,2.35
Tomas Berdych,CZE,1.60
Belinda Bencic,SUI,1.22
Kateryna Bondarenko,UKR,4.20
Margarita Gasparyan,RUS,1.57
Yulia Putintseva,KAZ,2.35
Lauren Davis,USA,15.00
Maria Sharapova,RUS,1.01
Anna-Lena Friedsam,GER,3.80
Roberta Vinci,ITA,1.25
Agnieszka Radwanska,POL,1.10
Monica Puig,PUR,6.75
Kristina Mladenovic,FRA,1.78
Daria Gavrilova,AUS,2.00
Serena Williams,USA,1.02
Daria Kasatkina,RUS,12.00
Carla Suarez Navarro,ESP,1.30
Elizaveta Kulichkova,RUS,3.40
Go Soeda,JPN,1.33
David Guez,FRA,2.95
Marco Chiudinelli,SUI,1.28
Zhe Li,CHN,3.25
Igor Sijsling,NED,1.91
Lukas Lacko,SVK,1.75
Gianluca Naso,ITA,7.50
Mikhail Youzhny,RUS,1.05
Milos Raonic,CAN,1.22
Viktor Troicki,SRB,4.10
Feliciano Lopez,ESP,2.35
John Isner,USA,1.57
Gael Monfils,FRA,1.07
Stephane Robert,FRA,7.75
Joao Sousa,POR,15.00
Andy Murray,GBR,1.01
Bernard Tomic,AUS,1.14
John Millman,AUS,5.50
Dudi Sela,ISR,2.60
Andrey Kuznetsov,RUS,1.48
David Ferrer,ESP,1.16
Steve Johnson,USA,5.00
Marc Marquez,ESP/Honda,2.10
Jorge Lorenzo,ESP/Yamaha,3.20
Valentino Rossi,ITA/Yamaha,6.50
